XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
EHMT2,NM_025256.7_7,0.41140430804726846,0.2844152991634737,1.4464914836061795,0.14803939898904114,0.7680356358456353,2.105523242715588
ELOVL5,NM_001242831.2,0.23199463570290613,0.556918685511699,0.4165682383052897,0.6769942452471323,0.9878880037402346,1.1277205496534215
ELOVL5,NM_001301856.2,-0.11177519408756464,0.3624316011872858,-0.3084035545504351,0.7577752775657478,0.9888412045606825,1.5944039831731918
ELOVL5,NM_021814.5,0.20701015650339527,0.16265947645825277,1.272659675358818,0.2031388327321663,0.8022487180591629,2.765025387863944
ENPP4,NM_014936.5,0.2293784237508384,0.20708450984255702,1.1076561154923228,0.2680103586819288,0.8940825565629145,2.177757101956627
FAM83B,NM_001010872.3,0.2889130643069059,0.1915681289831418,1.5081478628020142,0.1315166876505374,0.7680356358456353,2.001110521655588
FAM8A1,NM_016255.3,-0.011954803429452765,0.15253157135131806,-0.07837592783934472,0.9375290214186023,0.9997299078530111,2.604911962314697
FBXO9,NM_033480.3,-0.11367790459660498,0.19506498464690555,-0.5827694027320056,0.5600485451623669,0.9805808749412689,2.502008628132239
FBXO9,XR_001743336.2,-0.14978026121303523,0.4698314831283191,-0.3187957099335713,0.7498814316585791,0.9888412045606825,1.4314889583031467
FKBP5,NM_001145777.2,-0.11366280760048106,0.2533567368808831,-0.44862753207119244,0.6537003693157621,0.9876559927705537,1.5811961754772086
FKBP5,NM_004117.4,0.058051271020134854,0.1695903446713329,0.34230292492558206,0.7321229346153597,0.9888412045606825,2.6426452738747863
FLOT1,NM_005803.4_8,0.1479307885590675,0.23718273146257654,0.6236996582628888,0.5328248475607872,0.9805808749412689,2.5263297608330344
FLOT1,XM_017010158.2,-0.714032596541496,0.4268950826578356,-1.6726184618851805,0.09440243010329005,0.6906283044398588,1.7634742935665293
FOXP4,XM_017010233.2,-0.3302669063440795,0.2523083841113611,-1.3089811006768208,0.19054075271047377,0.8022487180591629,1.8094176071536188
FOXP4,XM_024446319.2,0.20457254262462032,0.23936660306016166,0.8546411237377325,0.3927498539199285,0.9805808749412689,2.2810748527937994
GABBR1,NM_021903.3_7,-0.46611210334713804,0.3999347575782449,-1.165470353638733,0.24382865378429125,0.8690303301542689,1.6420416663192396
GABBR1,XM_047418591.1,-0.09306614394088619,0.5677386191181119,-0.163924279249224,0.8697907535577551,0.9997043582906195,1.102826943914204
GABBR1,XM_047418593.1,-0.9330017130059636,0.3710373902114233,-2.5145759905068426,0.011917561644948373,0.23664872409254625,1.7778889546916743
GCLC,NM_001498.4,0.45908662759664975,0.17244720310724915,2.6621865668133364,0.007763483489961416,0.17374863951685215,2.4203321055126237
GLO1,NM_006708.3,0.12277159417279382,0.1482725286221163,0.8280130872097452,0.40766308829266384,0.9805808749412689,3.03253686794235
GMNN,NM_001251989.2,-0.008470958233531833,0.27051587817179157,-0.03131408880979747,0.9750190546730018,0.9997299078530111,1.9831413915644016
GMNN,NM_015895.5,0.12364044428596277,0.20354766308712485,0.6074274811646486,0.5435672554679221,0.9805808749412689,2.215917752642946
GMNN,XM_005249159.3,-0.3238145041421442,0.38093390330773413,-0.8500543042517102,0.39529489541973206,0.9805808749412689,1.3586284752986826
GMPR,NM_006877.4,0.32228878386337323,0.4576819034749918,0.704176375374176,0.4813229414809573,0.9805808749412689,1.726166870496979
GNL1,NM_005275.5_8,0.13294942901384332,0.2001337857079888,0.6643027739845344,0.5064965459640308,0.9805808749412689,2.5521882423663795
GSTA4,NM_001512.4,-0.13196733868485788,0.4827636325119673,-0.2733580779442547,0.7845779748889921,0.9888412045606825,1.8399158747955258
GSTA4,XM_005249035.5,-0.4206263925302509,0.5689314643977569,-0.7393269995631293,0.4597084582429933,0.9805808749412689,1.3017529571943371
GTF2H4,NM_001517.5_6,-0.238425951740866,0.30541352207293015,-0.7806659971130286,0.4349989644033395,0.9805808749412689,2.1478615031090444
GTPBP2,NM_019096.5,-0.02018650341874295,0.16793233289968246,-0.12020617513127588,0.9043198262010461,0.9997299078530111,2.577778009442354
GTPBP2,XM_024446478.2,0.21486899797083514,0.4560381713619081,0.47116450214935385,0.6375232660712816,0.9805808749412689,1.541567206635007
H1-2,NM_005319.4,-0.15637272941291758,0.0845107912819749,-1.8503285443295798,0.0642662109682599,0.5469185708931504,3.3938754748961726
H1-3,NM_005320.3,-0.12157967838841843,0.17584037979155195,-0.6914206994579045,0.4893011996413947,0.9805808749412689,2.571133987047267
H1-4,NM_005321.3,-0.08659236875427401,0.08384190402807463,-1.0328053705135127,0.3016949899626832,0.9137263901847296,3.3622983220283333
H2AC11,NM_021064.5,-0.09542634705675757,0.12201399281437678,-0.7820934702295357,0.43415964395112155,0.9805808749412689,2.9103730824567413
H2AC12,NM_080596.3,-0.03913690840413575,0.12617859933682662,-0.3101707310893664,0.7564311268728365,0.9888412045606825,2.922095824341513
H2AC13,NM_003509.3,-0.1719383043357483,0.1172904264784651,-1.4659193379889084,0.142670263002784,0.7680356358456353,3.0519961234665054
H2AC14,NM_021066.3,-0.11983923174708,0.44003585517430577,-0.27233969763579746,0.7853608350301825,0.9888412045606825,1.5900155332388082
H2AC15,NM_003510.3,-0.08523932914811927,0.26723928865439817,-0.31896256563664677,0.749754899552429,0.9888412045606825,1.8934410477597123
H2AC16,NM_003511.3,-0.08131201658232601,0.1608406171373326,-0.5055440474522572,0.6131767692777297,0.9805808749412689,2.6693985098758293
